toast_item,reason,candidate_recipe_name,candidate_recipe_id,candidate_recipe_type,candidate_category,recipe_cost,menu_price,is_inactive,score
GG's Sprinkle Cookie (v),fuzzy match,Pumpernickel Cookies,401564709,Pastries,MENU,0.56,0.56,False,0.667
GG's Sprinkle Cookie (v),fuzzy match,Cookie Plate,488122267,Pastries,MENU,0.99,0.99,True,0.645
GG's Sprinkle Cookie (v),fuzzy match,Pickled Egg,252656457,Appetizers,MENU,0.43,0.43,False,0.6
GG's Sprinkle Cookie (v),fuzzy match,Tahini Cookie,401565134,Pastries,MENU,0.2,0.2,False,0.562
"Gin, Perry's Tot (1.5oz)",fuzzy match,Fords Gin Shot,549525198,Spirits,BAR,1.11,1.11,False,0.529
"Gin, Perry's Tot (1.5oz)",fuzzy match,Graingers Shot,507282305,Spirits,BAR,0.44,0.44,True,0.529
"Gin, Perry's Tot (1.5oz)",fuzzy match,Hendricks Gin Shot,522468498,Spirits,BAR,0.26,0.26,False,0.526
"Gin, Perry's Tot (1.5oz)",fuzzy match,Retail - Gribenes (4oz),465932917,Retail,MENU,0.66,0.66,False,0.513
"Gin, Perry's Tot (1.5oz)",fuzzy match,Sauerkraut (half pint),301898755,Deli Case,MENU,1.12,1.12,False,0.513
Glorious Morning Muffin (v+),fuzzy match,Running With Flowers,535294426,Cocktail,BAR,2.33,2.33,False,0.526
Glorious Morning Muffin (v+),fuzzy match,"Babka Muffin, Cinnamon",246966550,Pastries,MENU,0.37,0.37,True,0.5
Glorious Morning Muffin (v+),fuzzy match,Onion Rings,981715930,Appetizers,MENU,0.78,0.78,False,0.471
Glorious Morning Muffin (v+),fuzzy match,Sumac Onions (pint),301899929,Deli Case,MENU,0.84,0.84,False,0.45
Goldenberg's Peanut Chews,fuzzy match,"Candy, Goldenberg's Peanut Chews",413235404,Retail,MENU,1.1,1.1,False,0.889
Goldenberg's Peanut Chews,fuzzy match,Whole Passionfruit Cheesecake,592997892,Holiday Items,MENU,6.37,6.37,True,0.528
Goldenberg's Peanut Chews,fuzzy match,Goldfarb Rachel,301808550,Sandwiches,MENU,4.39,4.39,True,0.513
Goldenberg's Peanut Chews,fuzzy match,"Candy, C-Howard's Spearmint Mints",413234058,Retail,MENU,0.9,0.9,False,0.491
Goldenberg's Peanut Chews,fuzzy match,Old Cuban Bitcher,628077342,Cocktail,BAR,14.39,14.39,False,0.488
Gribenes (4oz bag),fuzzy match,Retail - Gribenes (4oz),465932917,Retail,MENU,0.66,0.66,False,0.774
Gribenes (4oz bag),fuzzy match,Blintzes (frozen bag of 4),238013764,Freezer,MENU,4.08,4.08,False,0.55
Gribenes (4oz bag),fuzzy match,Onion Rings,981715930,Appetizers,MENU,0.78,0.78,False,0.522
Gribenes (4oz bag),fuzzy match,Fries - Large,298769112,Appetizers,MENU,1,1,False,0.519
Gribenes (4oz bag),fuzzy match,Bols Genever,816667875,Spirits,BAR,1.56,1.56,False,0.5
Hal's Potato Chips,fuzzy match,Hal's Potato Chips  - BBQ,412110878,Sides,MENU,1,1,True,0.895
Hal's Potato Chips,fuzzy match,Hal's Potato Chips - Salted,412111470,Sides,MENU,0.98,0.98,False,0.829
Hal's Potato Chips,fuzzy match,Bag O' Potato Chips,301817180,Sides,MENU,1.21,1.21,True,0.828
Hal's Potato Chips,fuzzy match,Hal's Potato Chips - Salt & Vinegar,412112578,Sides,MENU,0.98,0.98,False,0.723
Hal's Potato Chips,fuzzy match,"Hal's Potato Chips, Sour Cream & Onion",412112115,Sides,MENU,0.98,0.98,False,0.667
Half Hot Corned Beef (1/4 lb),fuzzy match,1/2# Corned Beef,247932824,Deli Case,MENU,5.46,5.46,False,0.857
Half Hot Corned Beef (1/4 lb),fuzzy match,Hot Corned Beef (4 oz.) Sandwich,240471688,Sandwiches,MENU,3.6,3.6,False,0.679
Half Hot Corned Beef (1/4 lb),fuzzy match,Corned Beef Rachel,245344993,Sandwiches,MENU,4.07,4.07,False,0.667
Half Hot Corned Beef (1/4 lb),fuzzy match,Hot Corned Beef (8 oz.) Sandwich,240472598,Sandwiches,MENU,6.12,6.12,False,0.655
Half Hot Corned Beef (1/4 lb),fuzzy match,Corned Beef Reuben,240473398,Sandwiches,MENU,4.27,4.27,False,0.619
Half Hot Pastrami (1/4 lb),fuzzy match,1/2# Pastrami,247932478,Deli Case,MENU,4.97,4.97,False,0.833
Half Hot Pastrami (1/4 lb),fuzzy match,1/2 Pint Hot Paste,467047904,Retail,MENU,2.5,2.5,False,0.667
Half Hot Pastrami (1/4 lb),fuzzy match,Hot Pastrami (4 oz.) Sandwich,240471448,Sandwiches,MENU,3.36,3.36,False,0.638
Half Hot Pastrami (1/4 lb),fuzzy match,Pastrami Lox - Retail 1/4#,408874951,Deli Case,MENU,2.38,2.38,True,0.638
Half Hot Pastrami (1/4 lb),fuzzy match,Hot Pastrami (8 oz.) Sandwich,240471777,Sandwiches,MENU,6.1,6.1,False,0.612
Half Sour Pickles (quart),fuzzy match,1/2 Sour Pickles (retail Quart),301895879,Deli Case,MENU,4.08,4.08,False,0.863
Half Sour Pickles (quart),fuzzy match,Sour Cream (half pint),236404696,Deli Case,MENU,0.92,0.92,False,0.585
Half Sour Pickles (quart),fuzzy match,1/2 Pint Pickled Shiitakes,467048996,Retail,MENU,2.03,2.03,False,0.583
Half Sour Pickles (quart),fuzzy match,Chicken Salad (half pint),239547824,Deli Case,MENU,1.39,1.39,False,0.545
Half Sour Pickles (quart),fuzzy match,Side of Pickles,301811410,Sides,MENU,0.93,0.93,False,0.541
Half-Dozen Assorted Bagels (fresh-frozen) (v+),fuzzy match,6-pack Assorted Bagels ,246304090,Freezer,MENU,0.92,0.92,False,0.567
Half-Dozen Assorted Bagels (fresh-frozen) (v+),fuzzy match,Pizza Bagels - 4-Frozen Cheese,375224072,Freezer,MENU,1.49,1.49,True,0.545
Half-Dozen Assorted Bagels (fresh-frozen) (v+),fuzzy match,1/2 doz Cinnamon Raisin Bagels,375806678,Freezer,MENU,1.6,1.6,False,0.529
Half-Dozen Assorted Bagels (fresh-frozen) (v+),fuzzy match,Cinnamon Raisin Bagel - Fresh ,606317604,Breads,MENU,0.26,0.26,False,0.523
Half-Dozen Assorted Bagels (fresh-frozen) (v+),fuzzy match,Half Dozen Oyster,861504991,Appetizers,MENU,4.83,4.83,False,0.519
Half-Dozen Bialys (fresh-frozen) (v+),fuzzy match,1/2 Dozen Bialys,246657553,Freezer,MENU,0.68,0.68,False,0.711
Half-Dozen Bialys (fresh-frozen) (v+),fuzzy match,Half Dozen Oyster,861504991,Appetizers,MENU,4.83,4.83,False,0.578
Half-Dozen Bialys (fresh-frozen) (v+),fuzzy match,Blintzes (frozen bag of 4),238013764,Freezer,MENU,4.08,4.08,False,0.565
Half-Dozen Bialys (fresh-frozen) (v+),fuzzy match,Pizza Bagels - 4-Frozen Cheese,375224072,Freezer,MENU,1.49,1.49,True,0.561
Half-Dozen Bialys (fresh-frozen) (v+),fuzzy match,Cinnamon Raisin Bagel - Fresh ,606317604,Breads,MENU,0.26,0.26,False,0.5
Half-Dozen Cinnamon Raisin Bagels (fresh-frozen) (v+),fuzzy match,1/2 doz Cinnamon Raisin Bagels,375806678,Freezer,MENU,1.6,1.6,False,0.8
Half-Dozen Cinnamon Raisin Bagels (fresh-frozen) (v+),fuzzy match,Cinnamon Raisin Bagel - Fresh ,606317604,Breads,MENU,0.26,0.26,False,0.75
Half-Dozen Cinnamon Raisin Bagels (fresh-frozen) (v+),fuzzy match,Pizza Bagels - 4-Frozen Cheese,375224072,Freezer,MENU,1.49,1.49,True,0.575
Half-Dozen Cinnamon Raisin Bagels (fresh-frozen) (v+),fuzzy match,"Babka Muffin, Cinnamon",246966550,Pastries,MENU,0.37,0.37,True,0.485
Half-Dozen Cinnamon Raisin Bagels (fresh-frozen) (v+),fuzzy match,Blintzes (frozen bag of 4),238013764,Freezer,MENU,4.08,4.08,False,0.484
Half-Dozen Everything Bagels (fresh-frozen) (v+),fuzzy match,Everything Bagel,246271713,Breads,MENU,0.18,0.18,False,0.571
Half-Dozen Everything Bagels (fresh-frozen) (v+),fuzzy match,1/2 doz Cinnamon Raisin Bagels,375806678,Freezer,MENU,1.6,1.6,False,0.543
Half-Dozen Everything Bagels (fresh-frozen) (v+),fuzzy match,Cinnamon Raisin Bagel - Fresh ,606317604,Breads,MENU,0.26,0.26,False,0.537
Half-Dozen Everything Bagels (fresh-frozen) (v+),fuzzy match,Pizza Bagels - 4-Frozen Cheese,375224072,Freezer,MENU,1.49,1.49,True,0.529
Half-Dozen Everything Bagels (fresh-frozen) (v+),fuzzy match,Retail - Seedy Everything Crackers,425513959,Retail,MENU,1.46,1.46,False,0.528
Half-Dozen Original Sunshine Gluten-Free Bagels (v+),fuzzy match,1/2 doz Cinnamon Raisin Bagels,375806678,Freezer,MENU,1.6,1.6,False,0.526
Half-Dozen Original Sunshine Gluten-Free Bagels (v+),fuzzy match,"Pumpernickel Bagels, Frozen 6-pacl",246309288,Freezer,MENU,1,1,False,0.506
Half-Dozen Original Sunshine Gluten-Free Bagels (v+),fuzzy match,Pizza Bagels - 4-Frozen Salami & Jalapeno,375228430,Freezer,MENU,3.15,3.15,True,0.506
Half-Dozen Original Sunshine Gluten-Free Bagels (v+),fuzzy match,Half Dozen Oyster,861504991,Appetizers,MENU,4.83,4.83,False,0.484
Half-Dozen Original Sunshine Gluten-Free Bagels (v+),fuzzy match,Cinnamon Raisin Bagel - Fresh ,606317604,Breads,MENU,0.26,0.26,False,0.466
Half-Dozen Plain Bagels (fresh-frozen) (v+),fuzzy match,Pizza Bagels - 4-Frozen Cheese,375224072,Freezer,MENU,1.49,1.49,True,0.667
Half-Dozen Plain Bagels (fresh-frozen) (v+),fuzzy match,Cinnamon Raisin Bagel - Fresh ,606317604,Breads,MENU,0.26,0.26,False,0.613
Half-Dozen Plain Bagels (fresh-frozen) (v+),fuzzy match,1/2 doz Cinnamon Raisin Bagels,375806678,Freezer,MENU,1.6,1.6,False,0.585
Half-Dozen Plain Bagels (fresh-frozen) (v+),fuzzy match,1/2 Dozen Bialys,246657553,Freezer,MENU,0.68,0.68,False,0.549
Half-Dozen Plain Bagels (fresh-frozen) (v+),fuzzy match,Plain Cream Cheese (half pint),239549060,Deli Case,MENU,1.92,1.92,False,0.548
Half-Dozen Pumpernickel Bagels (fresh-frozen) (v+),fuzzy match,"Pumpernickel Bagels, Frozen 6-pacl",246309288,Freezer,MENU,1,1,False,0.72
Half-Dozen Pumpernickel Bagels (fresh-frozen) (v+),fuzzy match,Pizza Bagels - 4-Frozen Cheese,375224072,Freezer,MENU,1.49,1.49,True,0.6
Half-Dozen Pumpernickel Bagels (fresh-frozen) (v+),fuzzy match,Pumpernickel Bagel,246309202,Breads,MENU,0.16,0.16,False,0.6
Half-Dozen Pumpernickel Bagels (fresh-frozen) (v+),fuzzy match,Pumpernickel Cookies,401564709,Pastries,MENU,0.56,0.56,False,0.516
Half-Dozen Pumpernickel Bagels (fresh-frozen) (v+),fuzzy match,Bulk Bagels - Baker's Dozen,375238896,Breads,MENU,2.35,2.35,False,0.515
Hot 50/50 (1/2 lb),fuzzy match,Hot 50/50 (8 oz),245831932,Sandwiches,MENU,6.66,6.66,False,0.733
Hot 50/50 (1/2 lb),fuzzy match,1/2# Corned Beef,247932824,Deli Case,MENU,5.46,5.46,False,0.581
Hot 50/50 (1/2 lb),fuzzy match,Schmaltz - 1/2#,375817918,Freezer,MENU,1.5,1.5,False,0.581
Hot 50/50 (1/2 lb),fuzzy match,Potato Salad (half pint),239573598,Deli Case,MENU,0.78,0.78,False,0.529
Hot 50/50 (1/2 lb),fuzzy match,1/2 Pint Retail Hot Aioli,467017731,Retail,MENU,1.99,1.99,False,0.526
Hot Potato Latkes (v),fuzzy match,Potato Latkes (Frozen),239723393,Freezer,MENU,2.01,2.01,False,0.811
Hot Potato Latkes (v),fuzzy match,Schmaltz Potatoes,551764976,Dinner Catering,MENU,7.35,7.35,False,0.647
Hot Potato Latkes (v),fuzzy match,Bag O' Potato Chips,301817180,Sides,MENU,1.21,1.21,True,0.621
Hot Potato Latkes (v),fuzzy match,Sweet Potato Pie,490514059,Holiday Items,MENU,5.86,5.86,False,0.606
Hot Potato Latkes (v),fuzzy match,Latke Platter,1014084547,Dinner Catering,MENU,6.17,6.17,False,0.6
Hot Tongue Sandwich (1/4 lb),fuzzy match,Hot Tongue (4 oz) Sandwich,245345490,Sandwiches,MENU,4.89,4.89,True,0.88
Hot Tongue Sandwich (1/4 lb),fuzzy match,Cold Turkey Sandwich,245900811,Sandwiches,MENU,3.22,3.22,False,0.652
Hot Tongue Sandwich (1/4 lb),fuzzy match,Charlie's Turkey Sandwich,413846256,Sandwiches,MENU,1.28,1.28,False,0.6
Hot Tongue Sandwich (1/4 lb),fuzzy match,Sturgeon Sandwich 2.0,409363482,Sandwiches,MENU,5.11,5.11,False,0.596
Hot Tongue Sandwich (1/4 lb),fuzzy match,Hot Corned Beef (4 oz.) Sandwich,240471688,Sandwiches,MENU,3.6,3.6,False,0.582
Joyva Chocolate Covered Halvah Bar,fuzzy match,"Candy, Chocolate Covered Halvah",413232462,Retail,MENU,1.61,1.61,False,0.812
Joyva Chocolate Covered Halvah Bar,fuzzy match,"Banana, Halvah & Chocolate Chunk Muffins",249891257,Pastries,MENU,0.59,0.59,False,0.62
Joyva Chocolate Covered Halvah Bar,fuzzy match,Chocolate Babka Loaf,471591660,Freezer,MENU,2.9,2.9,True,0.556
Joyva Chocolate Covered Halvah Bar,fuzzy match,Chocolate Cream Sufganiyot,510290297,Holiday Items,MENU,0.8,0.8,False,0.533
Joyva Chocolate Covered Halvah Bar,fuzzy match,Mamalehs Chocolate Cake,298769813,Pastries,MENU,2.03,2.03,False,0.526
Joyva Jell Rings,fuzzy match,"Candy, Joyva Jelly Rings",413235773,Retail,MENU,1.21,1.21,False,0.821
Joyva Jell Rings,fuzzy match,Covalle Gin,945065575,Spirits,BAR,1.6,1.6,False,0.593
Joyva Jell Rings,fuzzy match,Bella's Revenge,564354672,Cocktail,BAR,1.85,1.85,True,0.533
Joyva Jell Rings,fuzzy match,Onion Rings,981715930,Appetizers,MENU,0.78,0.78,False,0.519
Joyva Jell Rings,fuzzy match,Barr Hill Gin Gibson,306017721,Cocktail,BAR,3.28,3.28,False,0.5
Lactaid Pill,fuzzy match,Lawhill,280319641,Cocktail,BAR,3.3,3.3,False,0.526
Lactaid Pill,fuzzy match,Apple Custard Pie - slice,622617086,Holiday Items,MENU,1.05,1.05,True,0.514
Lactaid Pill,fuzzy match,Apple Custard Pie - whole,622616424,Holiday Items,MENU,9.95,9.95,True,0.514
Lactaid Pill,fuzzy match,Air Mail,387317621,Cocktail,BAR,2.05,2.05,False,0.5
Lactaid Pill,fuzzy match,Cactus Prick,972605858,Cocktail List,BAR,0.29,0.29,False,0.5
Lawson's Sip of Sunshine IPA,fuzzy match,Lawson's Sip of Sunshine,468682248,Beer,BAR,3.15,3.15,True,0.92
Lawson's Sip of Sunshine IPA,fuzzy match,Sophie Siadou Glass,562623886,Wine,BAR,2.37,2.37,True,0.558
Lawson's Sip of Sunshine IPA,fuzzy match,Lawson's Stout,1032061382,Beer,BAR,2.77,2.77,False,0.55
Lawson's Sip of Sunshine IPA,fuzzy match,Lemon Lime - Fountainhead ,973350919,N/A Bev,BAR,0.26,0.26,False,0.52
Lawson's Sip of Sunshine IPA,fuzzy match,Always Sunny,973152043,Cocktail,BAR,0.56,0.56,True,0.5
Lemon Poppy Seed Muffin (v) (gf),fuzzy match,Lemon Poppyseed Cake,387306932,Pastries,MENU,0.44,0.44,True,0.744
Lemon Poppy Seed Muffin (v) (gf),fuzzy match,Lemon Poppyseed Cake Slice,286327031,Pastries,MENU,0.44,0.44,False,0.694
Lemon Poppy Seed Muffin (v) (gf),fuzzy match,Lemon Poppy Seed Cake - Whole,401563797,Pastries,MENU,4.2,4.2,False,0.68
Lemon Poppy Seed Muffin (v) (gf),fuzzy match,"Seed & Mill, Coconut",413243105,Retail,MENU,1.11,1.11,True,0.5
Lemon Poppy Seed Muffin (v) (gf),fuzzy match,"Seed & Mill, Cardamom",413241865,Retail,MENU,6.35,6.35,False,0.488
"Life Savers, Wint O Green",fuzzy match,Green Walnut,387970942,Cocktail List,BAR,1.99,1.99,False,0.529
"Life Savers, Wint O Green",fuzzy match,Chopped Liver (half pint),239549614,Deli Case,MENU,1.28,1.28,False,0.5
"Life Savers, Wint O Green",fuzzy match,Goldfarb's Reuben,301806639,Sandwiches,MENU,4.46,4.46,True,0.5
"Life Savers, Wint O Green",fuzzy match,Little Gem Wedge Salad,298744050,Appetizers,MENU,3.68,3.68,True,0.5
"Life Savers, Wint O Green",fuzzy match,Fortaleza Winter Blend Shot,555657241,Spirits,BAR,1.43,1.43,True,0.49
Larger Whole Chocolate Layer Cakes  (v),fuzzy match,Chocolate Layer Cake - Slice,401515594,Pastries,MENU,1.16,1.16,False,0.767
Larger Whole Chocolate Layer Cakes  (v),fuzzy match,"Whole Chocolate Cake - 6""",351507596,Pastries,MENU,5.39,5.39,False,0.702
Larger Whole Chocolate Layer Cakes  (v),fuzzy match,Mamalehs Chocolate Cake,298769813,Pastries,MENU,2.03,2.03,False,0.667
Larger Whole Chocolate Layer Cakes  (v),fuzzy match,Chocolate Cake - Slice,621144826,Pastries,MENU,1.14,1.14,False,0.63
Larger Whole Chocolate Layer Cakes  (v),fuzzy match,Flourless Chocolate Cake - Slice,380240253,Holiday Items,MENU,0.81,0.81,False,0.625
Mamaleh's Corned Beef (1/2 lb retail),fuzzy match,1/2# Corned Beef,247932824,Deli Case,MENU,5.46,5.46,False,0.714
Mamaleh's Corned Beef (1/2 lb retail),fuzzy match,Hot Corned Beef (4 oz.) Sandwich,240471688,Sandwiches,MENU,3.6,3.6,False,0.571
Mamaleh's Corned Beef (1/2 lb retail),fuzzy match,Hot Corned Beef (8 oz.) Sandwich,240472598,Sandwiches,MENU,6.12,6.12,False,0.571
Mamaleh's Corned Beef (1/2 lb retail),fuzzy match,Swiss Cheese (retail 1/2#),301897650,Deli Case,MENU,1.45,1.45,False,0.567
Mamaleh's Corned Beef (1/2 lb retail),fuzzy match,Mamaleh's Big Salad (10-12 people),401579303,Platters,MENU,15.35,15.35,False,0.554
Mamaleh's Pastrami (1/2 lb retail),fuzzy match,Pastrami Lox - Retail 1/4#,408874951,Deli Case,MENU,2.38,2.38,True,0.807
Mamaleh's Pastrami (1/2 lb retail),fuzzy match,Pearl Salami - 1/2# retail,375804563,Deli Case,MENU,3.34,3.34,False,0.702
Mamaleh's Pastrami (1/2 lb retail),fuzzy match,1/2# Pastrami,247932478,Deli Case,MENU,4.97,4.97,False,0.667
Mamaleh's Pastrami (1/2 lb retail),fuzzy match,1/2 Pint Retail Hot Aioli,467017731,Retail,MENU,1.99,1.99,False,0.607
Mamaleh's Pastrami (1/2 lb retail),fuzzy match,Mamaleh's Big Salad (10-12 people),401579303,Platters,MENU,15.35,15.35,False,0.581
Mamaleh's Raspberry Jam (10oz),fuzzy match,Mamaleh's Bloody Mary,535295942,Cocktail,BAR,1.26,1.26,False,0.596
Mamaleh's Raspberry Jam (10oz),fuzzy match,"Sticker- 3"" Mamalehs Face",413856077,Retail,MENU,0.46,0.46,False,0.588
Mamaleh's Raspberry Jam (10oz),fuzzy match,Mamaleh's Draft Negroni,617470763,Cocktail,BAR,2.52,2.52,True,0.571
Mamaleh's Raspberry Jam (10oz),fuzzy match,"Rugelach, Raspberry - 1 each",338660566,Pastries,MENU,0.14,0.14,False,0.538
Mamaleh's Raspberry Jam (10oz),fuzzy match,Mamaleh's Draft Cape Codder,617471649,Cocktail,BAR,1.15,1.15,True,0.528
Mamaleh's Tongue (1/4 lb),fuzzy match,Onesie- Mamalehs,413862184,Retail,MENU,11.25,11.25,False,0.649
Mamaleh's Tongue (1/4 lb),fuzzy match,Mug- Mamaleh's Logo,413857198,Retail,MENU,5.66,5.66,False,0.615
Mamaleh's Tongue (1/4 lb),fuzzy match,Mamaleh's Big Salad (10-12 people),401579303,Platters,MENU,15.35,15.35,False,0.604
Mamaleh's Tongue (1/4 lb),fuzzy match,Mamaleh's Big Salad,245887524,Soups & Salads,MENU,4.92,4.92,False,0.6
Mamaleh's Tongue (1/4 lb),fuzzy match,1/4# Sable,247932342,Deli Case,MENU,7.38,7.38,False,0.588
MANISCHEWITZ (a whole bottle!),fuzzy match,Manischewitz Spritz,478090009,Drinks,MENU,1.08,1.08,False,0.609
MANISCHEWITZ (a whole bottle!),fuzzy match,Hamantaschen - Apple Pie,1113912192,Pastries,MENU,0.24,0.24,False,0.531
MANISCHEWITZ (a whole bottle!),fuzzy match,Folk Machine Rose,625205568,Wine,BAR,0,,True,0.524
MANISCHEWITZ (a whole bottle!),fuzzy match,Black and White Poppy Hamantaschen,351519000,Pastries,MENU,0.35,0.35,False,0.509
MANISCHEWITZ (a whole bottle!),fuzzy match,Apple Custard Pie - whole,622616424,Holiday Items,MENU,9.95,9.95,True,0.5
Malted Brandy Alexander Milkshake (boozy! 21+),fuzzy match,Black and White Milkshake,401527771,Drinks,MENU,3.57,3.57,True,0.5
Malted Brandy Alexander Milkshake (boozy! 21+),fuzzy match,Blandy's Bual Madeira 3 oz,507355296,Spirits,BAR,2.65,2.65,True,0.471
Malted Brandy Alexander Milkshake (boozy! 21+),fuzzy match,Fomu Vanilla Milkshake,505857822,Drinks,MENU,2,2,False,0.462
Mandel Bread (v),fuzzy match,MandelBread,401564088,Pastries,MENU,0.41,0.41,False,0.957
Mandel Bread (v),fuzzy match,Grand Marnier,758737227,Spirits,BAR,2.51,2.51,False,0.64
Mandel Bread (v),fuzzy match,Brand Gl,562622382,Wine,BAR,2.46,2.46,True,0.6
Mandel Bread (v),fuzzy match,Deadman's Handle,847394771,Cocktail,BAR,3.5,3.5,True,0.593
Mandel Bread (v),fuzzy match,Fortified H&H Madeira,752874686,Wine,BAR,2.05,2.05,False,0.552
Manischewitz Shpritz,fuzzy match,Manischewitz Spritz,478090009,Drinks,MENU,1.08,1.08,False,0.974
Manischewitz Shpritz,fuzzy match,Swedish Spritz,973143451,Cocktail,BAR,6.09,6.09,True,0.588
Manischewitz Shpritz,fuzzy match,Aperol Spritz,697255440,Cocktail,BAR,2.67,2.67,False,0.545
Manischewitz Shpritz,fuzzy match,Hugo Spritz,413490947,Cocktail,BAR,1.8,1.8,False,0.516
Manischewitz Shpritz,fuzzy match,Shorty Narragansett,421896407,Draught Beer,BAR,0.5,0.5,False,0.513
Mapleline Farm Chocolate Milk,fuzzy match,Chocolate Milk - Mapleline,379463189,Drinks,MENU,1.9,1.9,False,0.906
Mapleline Farm Chocolate Milk,fuzzy match,Mamalehs Chocolate Cake,298769813,Pastries,MENU,2.03,2.03,False,0.615
Mapleline Farm Chocolate Milk,fuzzy match,Chocolate Tartlets,545320774,Pastries,MENU,1.46,1.46,False,0.596
Mapleline Farm Chocolate Milk,fuzzy match,Hamantaschen - Chocolate Tahini,351522472,Pastries,MENU,0.28,0.28,False,0.586
Mapleline Farm Chocolate Milk,fuzzy match,Chocolate Milkshake,298401036,Drinks,MENU,3.31,3.31,False,0.583
Matzah Ball Soup (frozen quart),fuzzy match,Quart Matzah Ball Soup (hot),245899631,Soups & Salads,MENU,1.76,1.76,False,0.873
Matzah Ball Soup (frozen quart),fuzzy match,Quart Matzah Ball Soup,245901621,Freezer,MENU,1.95,1.95,False,0.863
Matzah Ball Soup (frozen quart),fuzzy match,Cup Matzah Ball Soup,245898926,Soups & Salads,MENU,0.73,0.73,False,0.694
Matzah Ball Soup (frozen quart),fuzzy match,Mushroom Barley Soup (retail quart),527932246,Freezer,MENU,3.5,3.5,False,0.645
Matzah Ball Soup (frozen quart),fuzzy match,Tomato Tahini Soup - retail quart,375816488,Soups & Salads,MENU,4.75,4.75,False,0.633
"Meat Knish (4, frozen)",fuzzy match,Meat Knish Frozen 4 Pack,375807978,Freezer,MENU,3.38,3.38,False,0.884
"Meat Knish (4, frozen)",fuzzy match,Potato Knish Frozen 4 pack,375813038,Freezer,MENU,1.13,1.13,False,0.756
"Meat Knish (4, frozen)",fuzzy match,Potato Latkes (Frozen),239723393,Freezer,MENU,2.01,2.01,False,0.615
"Meat Knish (4, frozen)",fuzzy match,Green Tea Shot,549530719,Cocktail,BAR,2.5,2.5,False,0.545
"Meat Knish (4, frozen)",fuzzy match,Frozen Pie Shell (Retail),541242301,Freezer,MENU,1.87,1.87,False,0.524
Medusa Pilsner,fuzzy match,Mimosa Pitcher,624370021,Cocktail,BAR,11.15,11.15,False,0.571
Medusa Pilsner,fuzzy match,Mustang Island,402696046,Cocktail List,BAR,1.74,1.74,False,0.571
Medusa Pilsner,fuzzy match,Mustang Island - Single,404240679,Cocktail,BAR,1.74,1.74,False,0.571
Medusa Pilsner,fuzzy match,Gl Pepiere Muscadet,933509995,Wine,BAR,0,,False,0.545
Medusa Pilsner,fuzzy match,Punt e mes,816682337,Spirits,BAR,6.65,6.65,False,0.545
Mimosa (prosecco and OJ),fuzzy match,Mimosa Pitcher,624370021,Cocktail,BAR,11.15,11.15,False,0.562
Mimosa (prosecco and OJ),fuzzy match,Mimosa for 2,401525244,Drinks,MENU,12.28,12.28,True,0.529
Mimosa (prosecco and OJ),fuzzy match,Campari and OJ,478066106,Cocktail,BAR,3.25,3.25,False,0.5
Mimosa (prosecco and OJ),fuzzy match,Leon Gold Rose,684911854,Wine,BAR,2.22,2.22,True,0.5
Mimosa (prosecco and OJ),fuzzy match,Mimosa,478055141,Drinks,MENU,5.3,5.3,False,0.5
Mixed Up Classic Margarita,fuzzy match,Vida Margarita,485214780,Cocktail,BAR,2.86,2.86,False,0.65
Mixed Up Classic Margarita,fuzzy match,Ocho Plata Margarita,485211406,Cocktail,BAR,2.94,2.94,False,0.609
Mixed Up Classic Margarita,fuzzy match,Elvelo Margarita,562641056,Cocktail,BAR,3.82,3.82,False,0.571
Mixed Up Classic Margarita,fuzzy match,Tommy's Margarita,801161242,Cocktail,BAR,3.59,3.59,False,0.571
Mixed Up Classic Margarita,fuzzy match,Tequila Por Mi Amante Margarita,435614433,Cocktail,BAR,1.94,1.94,False,0.561
Mixed Up Gin Grapefruit Mule,fuzzy match,Spindrift - Grapefruit,379449035,Drinks,MENU,0.97,0.97,False,0.583
Mixed Up Gin Grapefruit Mule,fuzzy match,New Belgium Grape Fizz Ale,930008457,Beer,BAR,1.37,1.37,True,0.556
Mixed Up Gin Grapefruit Mule,fuzzy match,Slice Pain De Mie,977794069,Sides,MENU,0.16,0.16,False,0.489
Mixed Up Gin Grapefruit Mule,fuzzy match,Mixed Green Salad (10-12 people),413267158,Platters,MENU,7.6,7.6,False,0.483
Mixed Up Gin Grapefruit Mule,fuzzy match,Salers Gentiane Aperitif,494490923,Spirits,BAR,1.02,1.02,False,0.462
Mixed Up Lemon Raspberry Mojito,fuzzy match,Raspberry Lime Ricky (HSP),476126381,Drinks,MENU,0.7,0.7,False,0.473
Mixed Up Lemon Raspberry Mojito,fuzzy match,Raspberry Sufganiyot,316351508,Holiday Items,MENU,0.84,0.84,False,0.471
Mixed Up Lemon Raspberry Mojito,fuzzy match,"Rugelach, Raspberry - 1 each",338660566,Pastries,MENU,0.14,0.14,False,0.471
Mixed Up Lemon Raspberry Mojito,fuzzy match,Pickled Cucumber Lemonade,842978234,Drinks,MENU,1.25,1.25,False,0.464
Mixed Up Lemon Raspberry Mojito,fuzzy match,Strawberry Tequila Cooler,434939110,Cocktail,BAR,2.03,2.03,True,0.464
Mocha Milkshake (boozy! 21+),fuzzy match,Mocha Milkshake,590520128,Drinks,MENU,4.38,4.38,False,0.75
Mocha Milkshake (boozy! 21+),fuzzy match,Bourbon-Vanilla Milkshake,401541711,Drinks,MENU,5,5,True,0.6
